Document	ARI	Coleman-Liau (grade levels)	Coleman-Liau (pred. Cloze scores)	New Dale-Chall	Flesch-Kincaid	Flesch Reading Ease	FORCAST	Fry	Gunning Fog	New Fog Count	Raygor Estimate	SMOG
/Users/vishala/Documents/CDC/Other sections/Input files/Business/airport-baggage-cargo-handlers.txt	11.4	13.4	35	11-12	11	44	11.8	16	12.7	8.3	Text is too difficult to be classified to a specific grade level because it contains too many 6+ character words.	13.3
/Users/vishala/Documents/CDC/Other sections/Input files/Business/airport-custodial-staff.txt	11.2	13.5	35	11-12	10.8	45	11.6	Text is too difficult to be classified to a specific grade level because it contains too many high syllable words.	13.1	8.2	Text is too difficult to be classified to a specific grade level because it contains too many 6+ character words.	13.2
/Users/vishala/Documents/CDC/Other sections/Input files/Business/airport-customer-factsheet.txt	11.7	13.7	34	11-12	11.1	44	11.6	16	13.4	8.6	Text is too difficult to be classified to a specific grade level because it contains too many 6+ character words.	13.5
/Users/vishala/Documents/CDC/Other sections/Input files/Business/airport-passenger-assistance-workers.txt	11.6	13.8	34	11-12	11.2	43	11.8	Text is too difficult to be classified to a specific grade level because it contains too many high syllable words.	13.5	8.5	Text is too difficult to be classified to a specific grade level because it contains too many 6+ character words.	13.6
/Users/vishala/Documents/CDC/Other sections/Input files/Business/guidance-business-response.txt	12.9	14.7	30	11-12	12.4	36	11.9	17	15.1	9.9	17	14.8
/Users/vishala/Documents/CDC/Other sections/Input files/Colleges/Collegesunivfaq.txt	13.7	15	29	11-12	13.1	33	11.8	17	14.5	9.8	17	15.2
/Users/vishala/Documents/CDC/Other sections/Input files/Colleges/guidance-ihe-response.txt	13.9	15.3	28	13-15	13.2	32	12.1	17	15.1	10.4	17	15.1
/Users/vishala/Documents/CDC/Other sections/Input files/Colleges/Landingpage_colleges.txt	8.8	12.7	38	9-10	7.9	54	11.7	Text is too difficult to be classified to a specific grade level because it contains too many high syllable words.	10	4	Text is too difficult to be classified to a specific grade level because it contains too many 6+ character words.	10.4
/Users/vishala/Documents/CDC/Other sections/Input files/Colleges/student-foreign-travel.txt	16.8	18.6	16	13-15	15.1	19	13.4	17	15.7	11.5	17	15.1
/Users/vishala/Documents/CDC/Other sections/Input files/Daily life and coping/animals.txt	12.5	12	40	9-10	12.5	42	11.2	14	13.1	10.5	13	14.5
/Users/vishala/Documents/CDC/Other sections/Input files/Daily life and coping/checklist-household-ready.txt	10.4	11.8	41	9-10	9.2	57	10.8	10	11.1	8.3	12	11.6
/Users/vishala/Documents/CDC/Other sections/Input files/Daily life and coping/children.txt	10.4	11.8	41	7-8	9.5	55	10.8	10	10.7	7.8	12	12
/Users/vishala/Documents/CDC/Other sections/Input files/Daily life and coping/get-your-household-ready-for-COVID-19.txt	10.9	12.8	38	9-10	10.2	49	11.3	13	11.1	7.4	13	12.4
/Users/vishala/Documents/CDC/Other sections/Input files/Daily life and coping/Landing page_daily lifeand coping.txt	6.6	8.1	54	7-8	5.4	80	8.7	6	6.8	5.6	7	8.1
/Users/vishala/Documents/CDC/Other sections/Input files/Daily life and coping/managing-stress-anxiety.txt	8.7	10.8	45	7-8	8.3	60	10.5	10	10.5	6.9	10	11.2
/Users/vishala/Documents/CDC/Other sections/Input files/Daily life and coping/talking-with-children.txt	7.4	9	51	5-6	7.4	67	9.9	8	8.1	5.8	7	10
/Users/vishala/Documents/CDC/Other sections/Input files/If you are sick/care-for-someone.txt	9.5	11.2	43	7-8	9	58	10.4	10	11	7.5	10	12
/Users/vishala/Documents/CDC/Other sections/Input files/If you are sick/caring-for-yourself-at-home.txt	9.5	12.2	40	9-10	9.5	51	11.4	Text is too difficult to be classified to a specific grade level because it contains too many high syllable words.	10.9	6.4	Text is too difficult to be classified to a specific grade level because it contains too many 6+ character words.	12
