Document	ARI	Coleman-Liau (grade levels)	Coleman-Liau (pred. Cloze scores)	New Dale-Chall	Flesch-Kincaid	Flesch Reading Ease	FORCAST	Fry	Gunning Fog	New Fog Count	Raygor Estimate	SMOG
/Users/vishala/Documents/Table- non CDC data/Australia /Australia_about-routine-environmental-cleaning-and-disinfection-in-the-community.txt	11.1	14.1	33	9-10	10.9	42	11.3	Text is too difficult to be classified to a specific grade level because it contains too many high syllable words.	12.4	6.9	Text is too difficult to be classified to a specific grade level because it contains too many 6+ character words.	12.8
/Users/vishala/Documents/Table- non CDC data/Australia /Australia_advice-for-retirement-villages.txt	9.9	11.2	43	9-10	10.5	51	10.8	13	11.8	8.5	11	12.8
/Users/vishala/Documents/Table- non CDC data/Australia /Australia_frequently-asked-questions.txt	8.5	10.4	46	7-8	9	57	10.3	10	10.2	6.9	10	11.8
/Users/vishala/Documents/Table- non CDC data/Australia /Australia_information-for-border-staff_2.txt	11	12.4	39	11-12	11.1	46	11	14	12.6	9	13	13.4
/Users/vishala/Documents/Table- non CDC data/Australia /Australia_information-for-cargo-and-mail-workers_1.txt	9.8	12	40	9-10	9.9	54	10.7	Text is too difficult to be classified to a specific grade level because it contains too many high syllable words.	9.9	6.3	Text is too difficult to be classified to a specific grade level because it contains too many 6+ character words.	12
/Users/vishala/Documents/Table- non CDC data/Australia /Australia_information-for-close-contacts-of-a-confirmed-case_2.txt	8.8	10.5	46	9-10	9.3	57	10.3	11	11.1	7.6	10	11.9
/Users/vishala/Documents/Table- non CDC data/Australia /Australia_information-for-employers_1.txt	11	12.1	40	11-12	10.8	50	10.5	13	12.8	9.2	12	13.3
/Users/vishala/Documents/Table- non CDC data/Australia /Australia_information-for-families-and-residents-on-restricted-visits-to-residential-aged-care-facilities.txt	9.6	11	44	9-10	10.9	50	10.8	14	12	8.3	11	13.5
/Users/vishala/Documents/Table- non CDC data/Australia /Australia_information-for-hotel-guests_0.txt	8.3	9.5	50	7-8	8.8	63	9.8	10	11	7.8	8	11.8
/Users/vishala/Documents/Table- non CDC data/Australia /Australia_information-for-international-travellers_1.txt	7.6	9.8	48	7-8	9.3	57	10.3	Text is too difficult to be classified to a specific grade level because it contains too many high syllable words.	10.7	6.7	9	11.9
/Users/vishala/Documents/Table- non CDC data/Australia /Australia_information-for-older-australians_5.txt	10.6	11.2	43	9-10	11.1	50	10.7	13	11.7	8.6	11	13.6
/Users/vishala/Documents/Table- non CDC data/Australia /Australia_information-for-people-with-a-suspected-case_3.txt	7.8	9.5	49	7-8	8.6	62	10.3	10	10.2	7.2	10	11.2
/Users/vishala/Documents/Table- non CDC data/Australia /Australia_information-for-the-airline-industry-including-flight-crew.txt	12	13.7	34	11-12	11.7	41	11.4	16	13.7	9	13	14
/Users/vishala/Documents/Table- non CDC data/Australia /Australia_information-on-the-use-of-surgical-masks.txt	11.6	12.1	40	9-10	10.9	51	10.6	12	12.5	9.4	13	13.5
/Users/vishala/Documents/Table- non CDC data/Australia /Australia_ NOTEFORHEALTHCARECOMPARISONONLY_ coronavirus-covid-19-restrictions-on-entry-into-and-visitors-to-aged-care-facilities.txt	14.8	16.4	24	13-15	14	28	11.8	17	17.9	11.6	17	16.4
/Users/vishala/Documents/Table- non CDC data/Austria FAQ.txt	11.2	11.9	41	9-10	12	45	11.2	16	12.4	9.1	13	14.1
/Users/vishala/Documents/Table- non CDC data/belgiumFAQ.txt	9.2	11.6	42	7-8	9.4	51	11.3	Text is too difficult to be classified to a specific grade level because it contains too many high syllable words.	11.3	6.6	Text is too difficult to be classified to a specific grade level because it contains too many 6+ character words.	11.9
/Users/vishala/Documents/Table- non CDC data/CanadaFAQ.txt	10	11.5	42	9-10	10.5	48	11	13	11.5	8.1	13	13.1
/Users/vishala/Documents/Table- non CDC data/EUCDCFAQ.txt	12.9	12.9	37	11-12	13.1	39	11.6	16	14	11	13	15
/Users/vishala/Documents/Table- non CDC data/FranceFAQ.txt	9.4	10.9	45	7-8	9.4	57	10.2	11	9.9	6.4	11	11.9
/Users/vishala/Documents/Table- non CDC data/Germany.txt	11.6	12.3	39	9-10	11.7	45	11.2	15	12.2	8.9	13	13.9
/Users/vishala/Documents/Table- non CDC data/Israel.txt	10.9	11.5	42	9-10	11.3	47	11.1	13	12.4	9.2	12	13.2
/Users/vishala/Documents/Table- non CDC data/Italy FAQ.txt	12	12.5	39	9-10	12.6	41	11.3	16	12.6	9.6	13	14.2
/Users/vishala/Documents/Table- non CDC data/Netherlands/NetherlandsFAQ1.txt	6.9	8.9	52	7-8	7.4	66	10.3	8	8.2	5.6	8	9.7
/Users/vishala/Documents/Table- non CDC data/Netherlands/Netherlands FAQ2.txt	7.6	9.5	50	7-8	8.1	62	10.3	9	9.1	6.3	8	10.6
/Users/vishala/Documents/Table- non CDC data/Norway/Norway_Advice and information to public.txt	8.9	10.4	46	7-8	9	58	10.8	10	10.5	7.6	10	11.3
/Users/vishala/Documents/Table- non CDC data/Norway/Norway_Advice for people in home quarantine.txt	10.8	10	48	11-12	10.4	58	10.3	10	12.2	10.7	11	11.9
/Users/vishala/Documents/Table- non CDC data/Norway/Norway_Facts about coronavirus.txt	10.8	12.6	38	11-12	12.2	44	11.7	17	11.4	7.4	13	13.1
/Users/vishala/Documents/Table- non CDC data/Norway/Norway_Facts on covid 19.txt	13.4	15.3	28	11-12	13.9	28	12.5	17	12.3	7.7	17	15.2
/Users/vishala/Documents/Table- non CDC data/Norway/Norway_general information about coronavirus in english.txt	7.2	10	48	7-8	8.3	57	10.8	Text is too difficult to be classified to a specific grade level because it contains too many high syllable words.	10.1	5.5	Text is too difficult to be classified to a specific grade level because it contains too many 6+ character words.	11.1
/Users/vishala/Documents/Table- non CDC data/Norway/Norway_Home isolation.txt	8.6	10.5	46	7-8	8.7	59	10.7	10	10.5	7.3	10	11.4
/Users/vishala/Documents/Table- non CDC data/Norway/Norway_infection-control-measures-during-the-covid-19-outbreak.txt	11.9	12.8	38	11-12	11.4	46	11.7	13	12.7	9.5	17	13.3
/Users/vishala/Documents/Table- non CDC data/Norway/Norway_Preganant Women and children.txt	13.6	13.7	34	11-12	12.7	40	11.7	15	13.8	11.3	17	14.3
/Users/vishala/Documents/Table- non CDC data/Norway/Norway_Respiratory infections.txt	12	11.4	43	9-10	11.1	52	10.4	11	12.4	10.9	11	12.3
/Users/vishala/Documents/Table- non CDC data/Norway/Norway_risk groups advice.txt	11.5	13.1	36	9-10	11.1	46	11.5	14	11.9	8.7	13	12.9
/Users/vishala/Documents/Table- non CDC data/Norway/Norway_To everyone asked to stay at home.txt	9	9.5	49	7-8	9.2	59	9.8	10	12.1	9	9	12.2
/Users/vishala/Documents/Table- non CDC data/Norway/Norway_Travel advice.txt	13.5	14.6	31	9-10	13	39	12.3	17	14.5	10.8	17	14.6
/Users/vishala/Documents/Table- non CDC data/Norway/Norway_What is social distancing.txt	6.3	8.7	53	5-6	7	67	9.8	8	10	5.8	7	10.6
/Users/vishala/Documents/Table- non CDC data/SouthKoreaFAQ.txt	12.1	12.9	37	11-12	11.5	45	11.4	14	12.4	9.4	13	13.4
/Users/vishala/Documents/Table- non CDC data/SwedenFAQ.txt	10.2	11.5	42	9-10	10.6	49	11.1	13	11.8	8.6	12	12.7
/Users/vishala/Documents/Table- non CDC data/SwitzerlandFAQ.txt	8.9	10.8	45	7-8	9.2	55	10.6	11	10.7	6.8	10	11.9
/Users/vishala/Documents/Table- non CDC data/UK/PublicHealthEnglandBlog/PublichealthEngland 5 things.txt	13.9	11	44	11-12	13	48	10.3	12	14.8	13.8	12	14.1
/Users/vishala/Documents/Table- non CDC data/UK/PublicHealthEnglandBlog/PublicHealthEnglandFAQ.txt	9.4	10.5	46	7-8	9.5	58	10.3	10	10.7	7.9	10	11.4
/Users/vishala/Documents/Table- non CDC data/UK/PublicHealthEnglandBlog/PublichealthEngland What is contact tracing.txt	12	10.9	44	11-12	11.4	52	10.6	11	12.6	11.1	11	12.5
/Users/vishala/Documents/Table- non CDC data/UK/PublicHealthEnglandBlog/PublichealthEngland What is self-isolation.txt	12.3	10.7	45	9-10	11.7	51	10.1	11	12.9	11.1	11	13.2
/Users/vishala/Documents/Table- non CDC data/UK/PublicHealthEnglandBlog/PublichealthEngland What is social distancing?.txt	13.3	11.1	44	9-10	11.9	52	10.3	11	13.9	12.9	12	13.2
/Users/vishala/Documents/Table- non CDC data/UK/UK_Coronavirus action plan A guide to what you can expect across the UK.txt	16.4	13.7	34	13-15	15.1	34	11.6	15	15.2	13.3	17	16.1
/Users/vishala/Documents/Table- non CDC data/UK/UK_goverment_guidance.txt	9.8	9.4	50	9-10	11.2	62	9.6	12	10.8	9.4	9	12.4
/Users/vishala/Documents/Table- non CDC data/UK/UK_NHS_overview.txt	7.2	8.7	53	7-8	8.5	62	9.6	10	9.7	6.5	8	11.5
/Users/vishala/Documents/Table- non CDC data/UK/UK_travel advice.txt	11.9	12.4	39	9-10	11.7	45	11.6	14	13.6	10.6	17	13.4
