Document	ARI	Coleman-Liau (grade levels)	Coleman-Liau (pred. Cloze scores)	New Dale-Chall	Flesch-Kincaid	Flesch Reading Ease	FORCAST	Fry	Gunning Fog	New Fog Count	Raygor Estimate	SMOG
/Users/vishala/Documents/Batch US states output FINAL/Input files/AlabamaFAQPDFi.txt	12.2	11.7	42	11-12	12.2	46	10.6	14	12.2	9.8	13	14.1
/Users/vishala/Documents/Batch US states output FINAL/Input files/AlaskaFAQ.txt	12.2	12.3	39	9-10	11.9	45	11	14	13.3	10.1	13	14
/Users/vishala/Documents/Batch US states output FINAL/Input files/ArizonaFAQ.txt	11.4	12.5	39	9-10	11.7	43	11.3	16	12	8.4	13	13.7
/Users/vishala/Documents/Batch US states output FINAL/Input files/ArkansasFAQ.txt	7.7	9.9	48	7-8	8.2	62	10.7	Text is too difficult to be classified to a specific grade level because it contains too many high syllable words.	7.9	4.7	Text is too difficult to be classified to a specific grade level because it contains too many 6+ character words.	10.6
/Users/vishala/Documents/Batch US states output FINAL/Input files/CaliforniaFAQ.txt	13.9	14.3	32	11-12	13.2	35	11.9	17	13.1	10	17	14.6
/Users/vishala/Documents/Batch US states output FINAL/Input files/ColoradoFAQw.txt	9	10.7	45	7-8	9.7	53	10.9	Text is too difficult to be classified to a specific grade level because it contains too many high syllable words.	9.6	6.7	11	11.9
/Users/vishala/Documents/Batch US states output FINAL/Input files/ConnecticitFAQ.txt	11.6	12.7	38	9-10	11.6	45	11.4	16	10.6	7.3	13	13.1
/Users/vishala/Documents/Batch US states output FINAL/Input files/DelawareFAQ.txt	10.1	11.3	43	9-10	10.2	52	10.7	12	11.5	8.3	12	12.7
/Users/vishala/Documents/Batch US states output FINAL/Input files/Floridamanual.txt	10	11.7	41	9-10	10.4	47	11.1	14	10.7	7.3	12	12.8
/Users/vishala/Documents/Batch US states output FINAL/Input files/GeorgiaFAQPDFi.txt	10.2	11.1	44	7-8	10.2	53	10.7	11	10.6	8.2	11	12.4
/Users/vishala/Documents/Batch US states output FINAL/Input files/Hawaii.txt	12.2	13	37	9-10	12.1	40	11.5	16	12.6	9.1	13	14.1
/Users/vishala/Documents/Batch US states output FINAL/Input files/Idaho FAQPDFi.txt	11.1	12.5	39	9-10	11.2	45	11.4	15	11.6	8.2	13	13.3
