Document	ARI	Coleman-Liau (grade levels)	Coleman-Liau (pred. Cloze scores)	New Dale-Chall	Flesch-Kincaid	Flesch Reading Ease	FORCAST	Fry	Gunning Fog	New Fog Count	Raygor Estimate	SMOG
https://coronavirus.health.ok.gov/articles/anything-open	9.4	10.8	45	7-8	9.4	54	10.4	11	10.3	6.9	10	12.6
https://coronavirus.health.ok.gov/articles/do-i-need-be-tested	10.6	8.7	52	9-10	10.4	59	9.5	10	11.6	9.9	9	12.3
https://coronavirus.health.ok.gov/articles/going-walk-essential	7.5	8.4	54	5-6	7.4	70	9.2	7	10	7.5	7	10.7
https://coronavirus.health.ok.gov/articles/have-you-heard	9.1	10.6	46	9-10	9.3	54	10.3	11	11.9	7.6	11	12.4
https://coronavirus.health.ok.gov/articles/help-my-kids-have-so-many-questions	10.1	10.7	45	7-8	9.2	59	9.7	10	12.4	9.3	8	12.7
https://coronavirus.health.ok.gov/articles/here-we-come-caroling-and-coloring	9.8	10	48	7-8	9.3	59	9.6	10	10.3	8.1	9	11.9
https://coronavirus.health.ok.gov/articles/i%E2%80%99m-not-even-sick	7.1	8.6	53	7-8	7.4	67	9.8	8	10.3	7.1	8	10.6
https://coronavirus.health.ok.gov/articles/i-can-do-it-you-can-do-it-we-can-do-it	6.2	6.5	61	4	6.2	78	8.5	7	7.7	6.1	6	9.1
https://coronavirus.health.ok.gov/articles/kids-are-driving-me-crazy	7.2	8	55	5-6	7.4	73	9	8	8.4	6.7	7	9.6
https://coronavirus.health.ok.gov/articles/medical-providers-need-our-help	6.8	7.8	56	5-6	6.9	72	8.9	7	9.1	6.6	7	10.2
https://coronavirus.health.ok.gov/articles/sanitize-sanitize-sanitize	9.7	9.9	48	7-8	8.9	63	9.6	9	10.7	8	8	12
https://coronavirus.health.ok.gov/articles/slow-spread	6.2	6.6	60	5-6	6.6	77	8.4	7	8.3	6.5	6	9.9
https://coronavirus.health.ok.gov/articles/testing-covid-19	9.5	9.1	51	9-10	9.9	60	9.8	10	11	9.1	10	12.1
https://coronavirus.health.ok.gov/articles/wash-wash-wash-your-hands	5.8	6.5	60	4	5.5	84	8.4	6	6.2	4.9	5	8.2
https://coronavirus.health.ok.gov/articles/we-just-got-back-spring-breaknow-what	9.2	9.3	50	5-6	8.8	66	9.5	9	9.7	7.1	9	11.2
https://coronavirus.health.ok.gov/articles/will-you-be-my-social-distance-friend	9.2	10.8	45	7-8	9	58	10.1	10	11.3	8.1	10	12.3
https://coronavirus.health.ok.gov/articles/you-want-me-stay-home-how-long	6.4	7.6	56	5-6	6.8	74	8.8	7	8.7	5.9	6	10.2
https://coronavirus.health.ok.gov/what-do-if-you-are-sick	12.9	11.7	41	9-10	11.7	50	10.8	12	9.8	6.3	12	13.5
https://coronavirus.health.ok.gov/what-you-should-know	10.1	10.6	45	7-8	10.1	54	10.6	11	10.5	8.2	11	12.1
