file,tokens,raw count,fraction
US_states_txt_all/AlabamaFAQPDFi.txt,1280,16,0.132
US_states_txt_all/AlaskaFAQ.txt,7410,37,0.306
US_states_txt_all/ArizonaFAQ.txt,3858,29,0.24
US_states_txt_all/ArkansasFAQ.txt,728,10,0.083
US_states_txt_all/CaliforniaFAQ.txt,4147,33,0.273
US_states_txt_all/ColoradoFAQw.txt,3134,22,0.182
US_states_txt_all/ConnecticitFAQ.txt,1688,16,0.132
US_states_txt_all/DelawareFAQ.txt,4001,29,0.24
US_states_txt_all/Floridamanual.txt,2731,26,0.215
US_states_txt_all/GeorgiaFAQPDFi.txt,2782,21,0.174
US_states_txt_all/Hawaii.txt,3830,35,0.289
US_states_txt_all/Idaho FAQPDFi.txt,4129,28,0.231
US_states_txt_all/IllinoisFAQmanual.txt,2432,20,0.165
US_states_txt_all/Indiana_hand .txt,4244,24,0.198
US_states_txt_all/IowaFAQPDFi.txt,1484,22,0.182
US_states_txt_all/Kansas_FAQ.txt,1839,22,0.182
US_states_txt_all/KentuckyFAQPDFi.txt,2877,30,0.248
US_states_txt_all/LoiusianaPDFi.txt,2954,26,0.215
US_states_txt_all/Maine_FAQ.txt,5465,35,0.289
US_states_txt_all/Maryland_FAQ.txt,1266,16,0.132
US_states_txt_all/Massachusetts FAQ only manual.txt,1146,16,0.132
US_states_txt_all/Michigan.txt,5387,38,0.314
US_states_txt_all/Minnesotta.txt,6201,35,0.289
US_states_txt_all/Mississipi_FAQ.txt,1601,22,0.182
US_states_txt_all/Missouri_FAQ.txt,598,14,0.116
US_states_txt_all/Montana combined.txt,2609,20,0.165
US_states_txt_all/Nebraska_FAQ.txt,423,10,0.083
US_states_txt_all/Nevada FAQpdf.txt,2517,25,0.207
US_states_txt_all/New Hampshire.txt,7904,45,0.372
US_states_txt_all/New York_FAQ.txt,3242,31,0.256
US_states_txt_all/NewJersey.txt,19352,53,0.438
US_states_txt_all/NewMexicoFAQ.txt,2062,26,0.215
US_states_txt_all/NorthCarolinaFAQPDFi.txt,7596,35,0.289
US_states_txt_all/NorthDakota FAQPDFi.txt,12824,40,0.331
US_states_txt_all/OhioFAQ.txt,1232,13,0.107
US_states_txt_all/OklahomaFAQ.txt,3213,22,0.182
US_states_txt_all/OregonPDFi.txt,6517,41,0.339
US_states_txt_all/PennFAQ.txt,483,4,0.033
US_states_txt_all/Rhode Island FAQPDFi.txt,978,14,0.116
US_states_txt_all/South Dakota_FAQ.txt,865,18,0.149
US_states_txt_all/SouthcarolinaFAQ.txt,1376,12,0.099
US_states_txt_all/TennesseeFAQPDFi.txt,2871,29,0.24
US_states_txt_all/TexasFAQ.txt,1309,13,0.107
US_states_txt_all/UtahFAQ.txt,11870,44,0.364
US_states_txt_all/VermontFAQ.txt,4794,31,0.256
US_states_txt_all/Virginia FAQ for all except heathcarePDF.txt,16395,50,0.413
US_states_txt_all/WashingtonFAQ.txt,1824,20,0.165
US_states_txt_all/West Virginia.txt,1332,14,0.116
US_states_txt_all/Wisconsini.txt,12237,41,0.339
US_states_txt_all/WyomingFAQ.txt,855,11,0.091
