Filename,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C
Australia_information-for-cargo-and-mail-workers_1.txt,287,16,35,25,17,9,7,12,36,17.9375,16.8824,11.48,1.5625,2.0588,1.4706,0.36,0.5294,1.0625,0.4118,0.7059,0.48,2.1176,1.44
Australia_information-for-employers_1.txt,568,32,82,60,32,26,19,21,61,17.75,17.75,9.4667,1.875,2.5625,1.875,0.4333,0.8125,1,0.5938,0.6562,0.35,1.9062,1.0167
Australia_information-for-families-and-residents-on-restricted-visits-to-residential-aged-care-facilities.txt,1301,72,163,104,75,35,26,47,152,18.0694,17.3467,12.5096,1.4444,2.1733,1.3867,0.3365,0.4667,1.0417,0.3467,0.6267,0.4519,2.0267,1.4615
Australia_information-for-border-staff_2.txt,1038,61,132,95,64,37,27,44,110,17.0164,16.2188,10.9263,1.5574,2.0625,1.4844,0.3895,0.5781,1.0492,0.4219,0.6875,0.4632,1.7188,1.1579
Australia_information-for-international-travellers_1.txt,381,28,48,32,27,13,13,20,34,13.6071,14.1111,11.9062,1.1429,1.7778,1.1852,0.4062,0.4815,0.9643,0.4815,0.7407,0.625,1.2593,1.0625
Australia_advice-for-retirement-villages.txt,1730,88,223,152,103,62,48,99,198,19.6591,16.7961,11.3816,1.7273,2.165,1.4757,0.4079,0.6019,1.1705,0.466,0.9612,0.6513,1.9223,1.3026
Australia_information-for-older-australians_5.txt,2505,137,334,222,147,84,65,106,275,18.2847,17.0408,11.2838,1.6204,2.2721,1.5102,0.3784,0.5714,1.073,0.4422,0.7211,0.4775,1.8707,1.2387
Australia_about-routine-environmental-cleaning-and-disinfection-in-the-community.txt,555,39,88,59,42,19,13,30,59,14.2308,13.2143,9.4068,1.5128,2.0952,1.4048,0.322,0.4524,1.0769,0.3095,0.7143,0.5085,1.4048,1
Australia_information-for-people-with-a-suspected-case_3.txt,526,30,77,53,32,25,17,15,49,17.5333,16.4375,9.9245,1.7667,2.4062,1.6562,0.4717,0.7812,1.0667,0.5312,0.4688,0.283,1.5312,0.9245
Australia_information-for-hotel-guests_0.txt,592,34,91,59,36,28,22,24,66,17.4118,16.4444,10.0339,1.7353,2.5278,1.6389,0.4746,0.7778,1.0588,0.6111,0.6667,0.4068,1.8333,1.1186
Australia_information-for-close-contacts-of-a-confirmed-case_2.txt,787,49,101,74,53,27,20,22,90,16.0612,14.8491,10.6351,1.5102,1.9057,1.3962,0.3649,0.5094,1.0816,0.3774,0.4151,0.2973,1.6981,1.2162
Australia_information-for-the-airline-industry-including-flight-crew.txt,1214,57,130,77,59,25,23,62,148,21.2982,20.5763,15.7662,1.3509,2.2034,1.3051,0.3247,0.4237,1.0351,0.3898,1.0508,0.8052,2.5085,1.9221
Australia_frequently-asked-questions.txt,1580,97,226,151,109,57,40,54,157,16.2887,14.4954,10.4636,1.5567,2.0734,1.3853,0.3775,0.5229,1.1237,0.367,0.4954,0.3576,1.4404,1.0397
Australia_information-on-the-use-of-surgical-masks.txt,747,38,109,69,41,33,22,27,96,19.6579,18.2195,10.8261,1.8158,2.6585,1.6829,0.4783,0.8049,1.0789,0.5366,0.6585,0.3913,2.3415,1.3913
