Filename,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C
Travelers-Returning-from-International-Travel.txt,225,17,29,18,17,6,6,13,18,13.2353,13.2353,12.5,1.0588,1.7059,1.0588,0.3333,0.3529,1,0.3529,0.7647,0.7222,1.0588,1
managing-stress-anxiety.txt,788,53,128,87,52,39,21,45,86,14.8679,15.1538,9.0575,1.6415,2.4615,1.6731,0.4483,0.75,0.9811,0.4038,0.8654,0.5172,1.6538,0.9885
election-polling-locations.txt,897,57,118,69,56,20,16,32,118,15.7368,16.0179,13,1.2105,2.1071,1.2321,0.2899,0.3571,0.9825,0.2857,0.5714,0.4638,2.1071,1.7101
cleaning-disinfection.txt,1550,79,187,112,82,41,32,78,196,19.6203,18.9024,13.8393,1.4177,2.2805,1.3659,0.3661,0.5,1.038,0.3902,0.9512,0.6964,2.3902,1.75
community_faithleaderschecklist.txt,331,23,36,22,22,9,6,26,37,14.3913,15.0455,15.0455,0.9565,1.6364,1,0.4091,0.4091,0.9565,0.2727,1.1818,1.1818,1.6818,1.6818
guidance-community-faith-organizations.txt,5700,295,738,423,296,176,123,306,772,19.322,19.2568,13.4752,1.4339,2.4932,1.4291,0.4161,0.5946,1.0034,0.4155,1.0338,0.7234,2.6081,1.8251
detailed-guidance-cleaning-disinfection.txt,1354,78,169,111,82,35,27,56,172,17.359,16.5122,12.1982,1.4231,2.061,1.3537,0.3153,0.4268,1.0513,0.3293,0.6829,0.5045,2.0976,1.5495
Landing-page_people-additional-precautions_higher-risk.txt,85,4,7,7,5,2,2,4,18,21.25,17,12.1429,1.75,1.4,1.4,0.2857,0.4,1.25,0.4,0.8,0.5714,3.6,2.5714
children.txt,1247,79,172,106,79,38,29,66,136,15.7848,15.7848,11.7642,1.3418,2.1772,1.3418,0.3585,0.481,1,0.3671,0.8354,0.6226,1.7215,1.283
guidance-ihe-response.txt,4381,242,542,330,238,109,77,219,578,18.1033,18.4076,13.2758,1.3636,2.2773,1.3866,0.3303,0.458,0.9835,0.3235,0.9202,0.6636,2.4286,1.7515
groups-at-higher-risk.txt,144,5,13,12,6,6,4,6,26,28.8,24,12,2.4,2.1667,2,0.5,1,1.2,0.6667,1,0.5,4.3333,2.1667
diy-cloth-face-coverings.txt,231,14,31,19,13,7,5,10,28,16.5,17.7692,12.1579,1.3571,2.3846,1.4615,0.3684,0.5385,0.9286,0.3846,0.7692,0.5263,2.1538,1.4737
airport-passenger-assistance-workers.txt,775,49,103,69,49,21,16,37,82,15.8163,15.8163,11.2319,1.4082,2.102,1.4082,0.3043,0.4286,1,0.3265,0.7551,0.5362,1.6735,1.1884
landing-page-and-symptoms.txt,145,7,19,13,8,7,4,8,20,20.7143,18.125,11.1538,1.8571,2.375,1.625,0.5385,0.875,1.1429,0.5,1,0.6154,2.5,1.5385
cruise-ships.txt,377,23,42,29,23,11,10,21,31,16.3913,16.3913,13,1.2609,1.8261,1.2609,0.3793,0.4783,1,0.4348,0.913,0.7241,1.3478,1.069
get-your-household-ready-for-COVID-19.txt,1670,110,233,145,106,64,46,77,186,15.1818,15.7547,11.5172,1.3182,2.1981,1.3679,0.4414,0.6038,0.9636,0.434,0.7264,0.531,1.7547,1.2828
Landing-page_school.txt,230,25,39,27,23,8,6,15,23,9.2,10,8.5185,1.08,1.6957,1.1739,0.2963,0.3478,0.92,0.2609,0.6522,0.5556,1,0.8519
guidance-for-childcare.txt,2807,148,357,218,155,88,67,130,317,18.9662,18.1097,12.8761,1.473,2.3032,1.4065,0.4037,0.5677,1.0473,0.4323,0.8387,0.5963,2.0452,1.4541
steps-when-sick.txt,1104,68,146,96,63,42,25,62,107,16.2353,17.5238,11.5,1.4118,2.3175,1.5238,0.4375,0.6667,0.9265,0.3968,0.9841,0.6458,1.6984,1.1146
testing.txt,403,25,62,42,27,19,15,12,45,16.12,14.9259,9.5952,1.68,2.2963,1.5556,0.4524,0.7037,1.08,0.5556,0.4444,0.2857,1.6667,1.0714
Landing-page_if-you_re-sick.txt,63,2,10,7,2,5,2,5,5,31.5,31.5,9,3.5,5,3.5,0.7143,2.5,1,1,2.5,0.7143,2.5,0.7143
disinfecting-building-facility.txt,758,56,106,67,56,21,15,36,86,13.5357,13.5357,11.3134,1.1964,1.8929,1.1964,0.3134,0.375,1,0.2679,0.6429,0.5373,1.5357,1.2836
Travelers-Prohibited-from-Entry-to-the-United-States.txt,121,5,11,8,5,3,3,3,14,24.2,24.2,15.125,1.6,2.2,1.6,0.375,0.6,1,0.6,0.6,0.375,2.8,1.75
guidance-for-schools.txt,3786,213,467,283,213,89,69,189,493,17.7746,17.7746,13.3781,1.3286,2.1925,1.3286,0.3145,0.4178,1,0.3239,0.8873,0.6678,2.3146,1.742
guidance-correctional-detention.txt,10385,506,1172,734,501,297,200,436,1360,20.5237,20.7285,14.1485,1.4506,2.3393,1.4651,0.4046,0.5928,0.9901,0.3992,0.8703,0.594,2.7146,1.8529
cloth-face-cover.txt,276,11,37,24,11,12,9,8,42,25.0909,25.0909,11.5,2.1818,3.3636,2.1818,0.5,1.0909,1,0.8182,0.7273,0.3333,3.8182,1.75
landing-page_prevent.txt,69,5,13,7,5,2,1,2,7,13.8,13.8,9.8571,1.4,2.6,1.4,0.2857,0.4,1,0.2,0.4,0.2857,1.4,1
disinfecting-your-home.txt,610,48,93,65,47,25,15,30,68,12.7083,12.9787,9.3846,1.3542,1.9787,1.383,0.3846,0.5319,0.9792,0.3191,0.6383,0.4615,1.4468,1.0462
retirementlandingpage.txt,158,16,24,19,14,7,4,9,20,9.875,11.2857,8.3158,1.1875,1.7143,1.3571,0.3684,0.5,0.875,0.2857,0.6429,0.4737,1.4286,1.0526
animals.txt,887,44,108,83,50,37,27,37,109,20.1591,17.74,10.6867,1.8864,2.16,1.66,0.4458,0.74,1.1364,0.54,0.74,0.4458,2.18,1.3133
What-you-can-do-if-higher-risk.txt,838,54,134,88,57,40,27,39,97,15.5185,14.7018,9.5227,1.6296,2.3509,1.5439,0.4545,0.7018,1.0556,0.4737,0.6842,0.4432,1.7018,1.1023
homelesssheltersplan-prepare-respond.txt,2052,117,247,147,113,60,44,95,283,17.5385,18.1593,13.9592,1.2564,2.1858,1.3009,0.4082,0.531,0.9658,0.3894,0.8407,0.6463,2.5044,1.9252
care-for-someone.txt,557,34,81,57,36,28,19,21,64,16.3824,15.4722,9.7719,1.6765,2.25,1.5833,0.4912,0.7778,1.0588,0.5278,0.5833,0.3684,1.7778,1.1228
talking-with-children.txt,851,62,143,91,60,39,29,43,75,13.7258,14.1833,9.3516,1.4677,2.3833,1.5167,0.4286,0.65,0.9677,0.4833,0.7167,0.4725,1.25,0.8242
airport-baggage-cargo-handlers.txt,708,45,90,63,44,21,16,36,73,15.7333,16.0909,11.2381,1.4,2.0455,1.4318,0.3333,0.4773,0.9778,0.3636,0.8182,0.5714,1.6591,1.1587
