Filename,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C
Norway_Adviceandinformationtopublic.txt,1061,66,146,112,68,52,39,50,103,16.0758,15.6029,9.4732,1.697,2.1471,1.6471,0.4643,0.7647,1.0303,0.5735,0.7353,0.4464,1.5147,0.9196
Norway_generalinformationaboutcoronavirusinenglish.txt,308,28,50,36,27,15,14,14,22,11,11.4074,8.5556,1.2857,1.8519,1.3333,0.4167,0.5556,0.9643,0.5185,0.5185,0.3889,0.8148,0.6111
Norway_Homeisolation.txt,566,38,85,57,40,27,17,25,56,14.8947,14.15,9.9298,1.5,2.125,1.425,0.4737,0.675,1.0526,0.425,0.625,0.4386,1.4,0.9825
Norway_Traveladvice.txt,430,21,50,36,24,14,14,17,58,20.4762,17.9167,11.9444,1.7143,2.0833,1.5,0.3889,0.5833,1.1429,0.5833,0.7083,0.4722,2.4167,1.6111
Norway_Toeveryoneaskedtostayathome.txt,407,25,63,52,30,24,16,9,30,16.28,13.5667,7.8269,2.08,2.1,1.7333,0.4615,0.8,1.2,0.5333,0.3,0.1731,1,0.5769
Norway_Whatissocialdistancing.txt,383,32,59,52,35,17,15,9,40,11.9688,10.9429,7.3654,1.625,1.6857,1.4857,0.3269,0.4857,1.0938,0.4286,0.2571,0.1731,1.1429,0.7692
Norway_riskgroupsadvice.txt,1223,74,151,123,76,55,46,42,167,16.527,16.0921,9.9431,1.6622,1.9868,1.6184,0.4472,0.7237,1.027,0.6053,0.5526,0.3415,2.1974,1.3577
Norway_Factsaboutcoronavirus.txt,1093,68,110,93,71,25,18,38,151,16.0735,15.3944,11.7527,1.3676,1.5493,1.3099,0.2688,0.3521,1.0441,0.2535,0.5352,0.4086,2.1268,1.6237
Norway_infection-control-measures-during-the-covid-19-outbreak.txt,822,42,103,78,50,28,26,20,106,19.5714,16.44,10.5385,1.8571,2.06,1.56,0.359,0.56,1.1905,0.52,0.4,0.2564,2.12,1.359
Norway_Factsoncovid19.txt,555,32,50,40,28,11,7,20,72,17.3438,19.8214,13.875,1.25,1.7857,1.4286,0.275,0.3929,0.875,0.25,0.7143,0.5,2.5714,1.8
Norway_Respiratoryinfections.txt,388,18,54,45,20,23,15,12,47,21.5556,19.4,8.6222,2.5,2.7,2.25,0.5111,1.15,1.1111,0.75,0.6,0.2667,2.35,1.0444
Norway_Adviceforpeopleinhomequarantine.txt,385,18,48,38,21,19,12,12,43,21.3889,18.3333,10.1316,2.1111,2.2857,1.8095,0.5,0.9048,1.1667,0.5714,0.5714,0.3158,2.0476,1.1316
Norway_PreganantWomenandchildren.txt,774,39,89,79,43,38,26,24,104,19.8462,18,9.7975,2.0256,2.0698,1.8372,0.481,0.8837,1.1026,0.6047,0.5581,0.3038,2.4186,1.3165
