Filename,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C
US_Financial-help.txt,1245,72,148,92,71,26,21,37,133,17.2917,17.5352,13.5326,1.2778,2.0845,1.2958,0.2826,0.3662,0.9861,0.2958,0.5211,0.4022,1.8732,1.4457
US_pregnancy.txt,706,36,91,65,38,28,22,21,83,19.6111,18.5789,10.8615,1.8056,2.3947,1.7105,0.4308,0.7368,1.0556,0.5789,0.5526,0.3231,2.1842,1.2769
US_protectyourself.txt,961,56,124,87,57,33,22,25,105,17.1607,16.8596,11.046,1.5536,2.1754,1.5263,0.3793,0.5789,1.0179,0.386,0.4386,0.2874,1.8421,1.2069
US_communityevents.txt,741,46,98,56,41,25,15,48,84,16.1087,18.0732,13.2321,1.2174,2.3902,1.3659,0.4464,0.6098,0.8913,0.3659,1.1707,0.8571,2.0488,1.5
US_animals.txt,710,36,82,59,36,27,21,34,77,19.7222,19.7222,12.0339,1.6389,2.2778,1.6389,0.4576,0.75,1,0.5833,0.9444,0.5763,2.1389,1.3051
US_supportforbusiness.txt,1061,56,101,75,58,20,17,40,114,18.9464,18.2931,14.1467,1.3393,1.7414,1.2931,0.2667,0.3448,1.0357,0.2931,0.6897,0.5333,1.9655,1.52
US_Travel.txt,2047,120,254,163,121,56,39,72,213,17.0583,16.9174,12.5583,1.3583,2.0992,1.3471,0.3436,0.4628,1.0083,0.3223,0.595,0.4417,1.7603,1.3067
US_parentsandchildren.txt,1553,102,224,138,105,50,40,68,178,15.2255,14.7905,11.2536,1.3529,2.1333,1.3143,0.3623,0.4762,1.0294,0.381,0.6476,0.4928,1.6952,1.2899
US_underlying-conditions.txt,543,26,57,48,28,22,14,20,70,20.8846,19.3929,11.3125,1.8462,2.0357,1.7143,0.4583,0.7857,1.0769,0.5,0.7143,0.4167,2.5,1.4583
US_retirement-community.txt,465,33,79,46,35,15,14,24,51,14.0909,13.2857,10.1087,1.3939,2.2571,1.3143,0.3261,0.4286,1.0606,0.4,0.6857,0.5217,1.4571,1.1087
US_funerals.txt,1183,53,136,96,57,45,34,49,139,22.3208,20.7544,12.3229,1.8113,2.386,1.6842,0.4688,0.7895,1.0755,0.5965,0.8596,0.5104,2.4386,1.4479
US_Spread.txt,1064,57,132,105,63,43,32,42,121,18.6667,16.8889,10.1333,1.8421,2.0952,1.6667,0.4095,0.6825,1.1053,0.5079,0.6667,0.4,1.9206,1.1524
US_symptomstesting.txt,242,17,32,24,16,11,8,9,29,14.2353,15.125,10.0833,1.4118,2,1.5,0.4583,0.6875,0.9412,0.5,0.5625,0.375,1.8125,1.2083
US_watertransmission.txt,385,22,43,38,22,16,10,14,54,17.5,17.5,10.1316,1.7273,1.9545,1.7273,0.4211,0.7273,1,0.4545,0.6364,0.3684,2.4545,1.4211
US_rumors.txt,486,38,65,48,38,12,11,17,49,12.7895,12.7895,10.125,1.2632,1.7105,1.2632,0.25,0.3158,1,0.2895,0.4474,0.3542,1.2895,1.0208
US_keeping-home-safe.txt,945,52,130,69,53,28,23,53,90,18.1731,17.8302,13.6957,1.3269,2.4528,1.3019,0.4058,0.5283,1.0192,0.434,1,0.7681,1.6981,1.3043
US_White-house.txt,460,34,56,36,32,13,10,24,48,13.5294,14.375,12.7778,1.0588,1.75,1.125,0.3611,0.4062,0.9412,0.3125,0.75,0.6667,1.5,1.3333
US_K12childcare.txt,1738,104,231,137,103,51,43,84,197,16.7115,16.8738,12.6861,1.3173,2.2427,1.3301,0.3723,0.4951,0.9904,0.4175,0.8155,0.6131,1.9126,1.438
US_basics.txt,659,33,72,56,32,20,15,39,84,19.9697,20.5938,11.7679,1.697,2.25,1.75,0.3571,0.625,0.9697,0.4688,1.2188,0.6964,2.625,1.5
