Filename,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C
Copy-of-q-a-be-active-during-covid-19.txt,1419,66,169,87,71,38,26,90,162,21.5,19.9859,16.3103,1.3182,2.3803,1.2254,0.4368,0.5352,1.0758,0.3662,1.2676,1.0345,2.2817,1.8621
Copy-of-q-a-on-smoking-and-covid-19.txt,142,6,14,11,6,5,3,7,22,23.6667,23.6667,12.9091,1.8333,2.3333,1.8333,0.4545,0.8333,1,0.5,1.1667,0.6364,3.6667,2
Copy-of-UN-GeneralFAQ.txt,2767,187,352,260,190,86,68,141,290,14.7968,14.5632,10.6423,1.3904,1.8526,1.3684,0.3308,0.4526,1.016,0.3579,0.7421,0.5423,1.5263,1.1154
Copy-of-q-a-on-mass-gatherings-and-covid-19.txt,974,36,110,69,37,31,22,33,105,27.0556,26.3243,14.1159,1.9167,2.973,1.8649,0.4493,0.8378,1.0278,0.5946,0.8919,0.4783,2.8378,1.5217
Copy-of-q-a-coronaviruses.txt,3031,198,390,283,202,101,74,154,330,15.3081,15.005,10.7102,1.4293,1.9307,1.401,0.3569,0.5,1.0202,0.3663,0.7624,0.5442,1.6337,1.1661
Copy-of-q-a-on-covid-19-pregnancy-childbirth-and-breastfeeding.txt,669,47,84,55,49,16,18,41,77,14.234,13.6531,12.1636,1.1702,1.7143,1.1224,0.2909,0.3265,1.0426,0.3673,0.8367,0.7455,1.5714,1.4
Copy-of-q-a-similarities-and-differences-covid-19-and-influenza.txt,679,34,73,59,34,24,18,23,94,19.9706,19.9706,11.5085,1.7353,2.1471,1.7353,0.4068,0.7059,1,0.5294,0.6765,0.3898,2.7647,1.5932
Copy-of-q-a-on-covid-19-hiv-and-antiretrovirals.txt,2456,87,231,174,91,79,50,116,374,28.2299,26.989,14.1149,2,2.5385,1.9121,0.454,0.8681,1.046,0.5495,1.2747,0.6667,4.1099,2.1494
Copy-of-q-a-malaria-and-the-covid-19-pandemic.txt,1468,61,145,90,66,28,24,49,223,24.0656,22.2424,16.3111,1.4754,2.197,1.3636,0.3111,0.4242,1.082,0.3636,0.7424,0.5444,3.3788,2.4778
WHO_myth_busters.txt,975,61,136,85,60,27,22,41,122,15.9836,16.25,11.4706,1.3934,2.2667,1.4167,0.3176,0.45,0.9836,0.3667,0.6833,0.4824,2.0333,1.4353
WHO-coronavirus-landing-page.txt,356,21,43,26,22,9,5,26,47,16.9524,16.1818,13.6923,1.2381,1.9545,1.1818,0.3462,0.4091,1.0476,0.2273,1.1818,1,2.1364,1.8077
WHO_advice_for_public.txt,534,41,62,46,41,14,8,35,50,13.0244,13.0244,11.6087,1.122,1.5122,1.122,0.3043,0.3415,1,0.1951,0.8537,0.7609,1.2195,1.087
