Filename,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C
AustriaFAQ.txt,3084,166,318,250,176,70,58,101,367,18.5783,17.5227,12.336,1.506,1.8068,1.4205,0.28,0.3977,1.0602,0.3295,0.5739,0.404,2.0852,1.468
EUCDCFAQ.txt,4379,210,480,349,234,111,80,133,601,20.8524,18.7137,12.5473,1.6619,2.0513,1.4915,0.3181,0.4744,1.1143,0.3419,0.5684,0.3811,2.5684,1.7221
ItalyFAQ.txt,5548,278,535,385,285,101,80,223,694,19.9568,19.4667,14.4104,1.3849,1.8772,1.3509,0.2623,0.3544,1.0252,0.2807,0.7825,0.5792,2.4351,1.8026
CanadaFAQ.txt,6111,355,864,597,390,221,167,190,658,17.2141,15.6692,10.2362,1.6817,2.2154,1.5308,0.3702,0.5667,1.0986,0.4282,0.4872,0.3183,1.6872,1.1022
SwedenFAQ.txt,6901,425,905,683,438,259,189,213,850,16.2376,15.7557,10.104,1.6071,2.0662,1.5594,0.3792,0.5913,1.0306,0.4315,0.4863,0.3119,1.9406,1.2445
SouthKoreaFAQ.txt,4757,258,559,410,271,146,118,196,497,18.438,17.5535,11.6024,1.5891,2.0627,1.5129,0.3561,0.5387,1.0504,0.4354,0.7232,0.478,1.8339,1.2122
SwitzerlandFAQ.txt,4374,300,569,430,313,144,105,134,489,14.58,13.9744,10.1721,1.4333,1.8179,1.3738,0.3349,0.4601,1.0433,0.3355,0.4281,0.3116,1.5623,1.1372
FranceFAQ.txt,576,35,70,52,36,20,13,23,61,16.4571,16,11.0769,1.4857,1.9444,1.4444,0.3846,0.5556,1.0286,0.3611,0.6389,0.4423,1.6944,1.1731
Germany.txt,3126,172,333,257,185,75,59,88,363,18.1744,16.8973,12.1634,1.4942,1.8,1.3892,0.2918,0.4054,1.0756,0.3189,0.4757,0.3424,1.9622,1.4125
belgiumFAQ.txt,9824,743,1257,958,763,220,165,290,1094,13.2221,12.8755,10.2547,1.2894,1.6474,1.2556,0.2296,0.2883,1.0269,0.2163,0.3801,0.3027,1.4338,1.142
Israel.txt,6092,326,705,486,351,151,111,205,718,18.6871,17.3561,12.535,1.4908,2.0085,1.3846,0.3107,0.4302,1.0767,0.3162,0.584,0.4218,2.0456,1.4774
